"pnro","nimi","kunta","maakunta","hinta2016","trendi2016"
"66430","Vedenoja","Laihia","Pohjanmaa",1207,-0.1
"66200","Korsnäs Keskus","Korsnäs","Pohjanmaa",1201,-0.3
"66910","Soklot","Uusikaarlepyy","Pohjanmaa",1193,-0.5
"66510","Merikaarto","Vaasa","Pohjanmaa",1191,0
"66830","Oravaisten Tehdas","Vöyri","Pohjanmaa",1180,-0.3
"66140","Övermalax","Maalahti","Pohjanmaa",1178,-0.3
"66530","Koivulahti","Mustasaari","Pohjanmaa",1166,0
"66800","Oravainen Keskus","Vöyri","Pohjanmaa",1158,-0.4
"68555","Bosund","Luoto","Pohjanmaa",1149,-2.5
"66220","Bergö","Maalahti","Pohjanmaa",1148,-0.6
"66210","Moikipää","Korsnäs","Pohjanmaa",1147,-0.6
"66950","Munsala","Uusikaarlepyy","Pohjanmaa",1142,-0.8
"65370","Ristinummi","Vaasa","Pohjanmaa",1140,-2.4
"66290","Harrström","Korsnäs","Pohjanmaa",1140,-0.6
"66440","Tervajoki","Isokyrö","Pohjanmaa",1136,-0.2
"66970","Hirvlax","Uusikaarlepyy","Pohjanmaa",1136,-0.9
"68620","Skutnäs-Västermalm","Pietarsaari","Pohjanmaa",1136,-2.3
"66600","Vöyri Keskus","Vöyri","Pohjanmaa",1130,-0.6
"66980","Monå","Uusikaarlepyy","Pohjanmaa",1130,-0.9
"66240","Petolahti","Maalahti","Pohjanmaa",1127,-0.7
"64200","Närpiö Keskus","Närpiö","Pohjanmaa",1125,-1
"66930","Kovjoki","Uusikaarlepyy","Pohjanmaa",1119,-1
"66550","Västerhankmo","Mustasaari","Pohjanmaa",1116,-0.4
"66460","Haapala","Laihia","Pohjanmaa",1113,-0.6
"66160","Långåminne","Maalahti","Pohjanmaa",1105,-0.7
"66295","Töjby","Närpiö","Pohjanmaa",1103,-0.8
"66280","Taklax","Korsnäs","Pohjanmaa",1101,-0.8
"66710","Kaitsor","Vöyri","Pohjanmaa",1101,-0.8
"66420","Ruto","Laihia","Pohjanmaa",1098,-0.7
"66540","Petsmo","Mustasaari","Pohjanmaa",1095,-0.5
"68560","Eugmo","Luoto","Pohjanmaa",1095,-2.8
"66270","Pirttikylä-Sorvari","Närpiö","Pohjanmaa",1094,-0.9
"66520","Veikkaala","Mustasaari","Pohjanmaa",1094,-0.5
"66450","Jakkula","Laihia","Pohjanmaa",1090,-0.7
"66640","Maksamaa","Vöyri","Pohjanmaa",1090,-0.8
"66840","Pensala","Uusikaarlepyy","Pohjanmaa",1090,-0.8
"66580","Kuni","Mustasaari","Pohjanmaa",1082,-0.6
"68530","Lepplax","Pedersören kunta","Pohjanmaa",1082,-2.9
"66230","Korsbäck","Korsnäs","Pohjanmaa",1081,-1
"66850","Jepua","Uusikaarlepyy","Pohjanmaa",1081,-0.9
"66590","Vassor","Mustasaari","Pohjanmaa",1078,-0.6
"66660","Bertby","Vöyri","Pohjanmaa",1071,-1
"66810","Kimo","Vöyri","Pohjanmaa",1069,-1
"68810","Ytteresse","Pedersören kunta","Pohjanmaa",1069,-2.9
"68570","Luoto","Luoto","Pohjanmaa",1063,-2.9
"66560","Österhankmo","Mustasaari","Pohjanmaa",1062,-0.7
"68870","Edsevö","Pedersören kunta","Pohjanmaa",1061,-2.9
"66999","Kaukaluoto","Mustasaari","Pohjanmaa",1054,-1.4
"68800","Kolppi","Pedersören kunta","Pohjanmaa",1054,-3
"66500","Vähäkyrö Keskus","Vaasa","Pohjanmaa",1045,-0.4
"66260","Svarvar","Maalahti","Pohjanmaa",1038,-1.2
"66680","Kaurajärvi","Vöyri","Pohjanmaa",1037,-1.2
"68910","Pännäinen","Pedersören kunta","Pohjanmaa",1036,-3.1
"66820","Komossa","Vöyri","Pohjanmaa",1031,-1.2
"66730","Oxkangar","Vöyri","Pohjanmaa",1026,-1.2
"68500","Kruunupyy Keskus","Kruunupyy","Pohjanmaa",1012,-3.2
"66470","Jukaja-Jokisalo","Laihia","Pohjanmaa",999,-1.3
"68820","Ähtävä","Pedersören kunta","Pohjanmaa",985,-3.4
"61550","Orismala","Isokyrö","Pohjanmaa",977,-2.5
"64300","Lapväärtti","Kristiinankaupunki","Pohjanmaa",962,-1.6
"68690","Sundby","Pedersören kunta","Pohjanmaa",962,-3.3
"68750","Småbönders","Kruunupyy","Pohjanmaa",962,-3.6
"68930","Purmo","Pedersören kunta","Pohjanmaa",962,-3.5
"68920","Forsby","Pedersören kunta","Pohjanmaa",961,-3.5
"68410","Alaveteli","Kruunupyy","Pohjanmaa",956,-3.5
"68940","Lillby","Pedersören kunta","Pohjanmaa",937,-3.7
"68830","Bäckby","Pedersören kunta","Pohjanmaa",933,-3.7
"62395","Petterinmäki","Vöyri","Pohjanmaa",931,-1.7
"64220","Yttermark","Närpiö","Pohjanmaa",931,-1.8
"64210","Kalax","Närpiö","Pohjanmaa",929,-1.8
"68700","Teerijärvi","Kruunupyy","Pohjanmaa",923,-3.8
"64510","Nämpnäs","Närpiö","Pohjanmaa",918,-1.8
"68840","Nederlappfors","Pedersören kunta","Pohjanmaa",917,-3.8
"64250","Pjelax","Närpiö","Pohjanmaa",915,-1.9
"64240","Böle","Närpiö","Pohjanmaa",914,-1.9
"64320","Dagsmark","Kristiinankaupunki","Pohjanmaa",914,-1.9
"64460","Härkmeri","Kristiinankaupunki","Pohjanmaa",907,-1.9
"64480","Skaftung","Kristiinankaupunki","Pohjanmaa",907,-1.9
"64550","Rangsby","Närpiö","Pohjanmaa",903,-1.9
"64610","Övermark","Närpiö","Pohjanmaa",902,-1.9
"61520","Lehmäjoki","Isokyrö","Pohjanmaa",895,-3.1
"64530","Norrnäs","Närpiö","Pohjanmaa",890,-2
"64260","Kaskinen","Kaskinen","Pohjanmaa",889,-0.8
"68970","Överpurmo","Pedersören kunta","Pohjanmaa",889,-4
"64140","Tiukka","Kristiinankaupunki","Pohjanmaa",884,-1.8
"64450","Kallträsk","Kristiinankaupunki","Pohjanmaa",860,-2.2
"64440","Metsälä-Kallträsk","Kristiinankaupunki","Pohjanmaa",853,-2.3
"64490","Siipyy","Kristiinankaupunki","Pohjanmaa",849,-2.3
"64100","Kristiinankaupunki Keskus","Kristiinankaupunki","Pohjanmaa",841,-1.9
"61560","Orisberg","Isokyrö","Pohjanmaa",827,-3.6
"61500","Isokyrö Keskus","Isokyrö","Pohjanmaa",805,-3
"68660","Östermalm-Björnholmen","Pietarsaari","Pohjanmaa",776,-3.9
"80110","Joensuu Keskus Eteläinen","Joensuu","Pohjois-Karjala",2560,2.1
"80100","Joensuu Keskus, Pohjoinen","Joensuu","Pohjois-Karjala",2520,2.2
"80200","Niinivaara","Joensuu","Pohjois-Karjala",2449,2.3
"80220","Penttilä","Joensuu","Pohjois-Karjala",2419,3.3
"80780","Kontioniemi","Kontiolahti","Pohjois-Karjala",2130,0.4
"80710","Lehmo","Kontiolahti","Pohjois-Karjala",2082,0.6
"80140","Noljakka","Joensuu","Pohjois-Karjala",2063,0.7
"80330","Reijola","Joensuu","Pohjois-Karjala",2004,2.4
"80230","Hukanhauta","Joensuu","Pohjois-Karjala",1963,1.8
"80170","Utra","Joensuu","Pohjois-Karjala",1905,1.5
"80260","Kettuvaara","Joensuu","Pohjois-Karjala",1754,0.4
"80400","Ylämylly","Liperi","Pohjois-Karjala",1708,0.7
"80160","Rantakylä-Latola","Joensuu","Pohjois-Karjala",1702,1.1
"80130","Kanervala","Joensuu","Pohjois-Karjala",1698,0.5
"81100","Kontiolahti","Kontiolahti","Pohjois-Karjala",1564,-1.5
"80770","Kontiolahti as","Kontiolahti","Pohjois-Karjala",1560,-0.4
"80850","Paihola","Kontiolahti","Pohjois-Karjala",1500,-0.6
"80910","Kulho","Kontiolahti","Pohjois-Karjala",1458,-0.8
"80510","Onttola-Kunnasniemi","Kontiolahti","Pohjois-Karjala",1340,-1.1
"75530","Porokylä","Nurmes","Pohjois-Karjala",1086,1.8
"81120","Katajaranta","Kontiolahti","Pohjois-Karjala",1012,-3.2
"83100","Liperi Keskus","Liperi","Pohjois-Karjala",957,-3.3
"83130","Salokylä","Liperi","Pohjois-Karjala",947,-3
"81160","Romppala-Riihikangas","Kontiolahti","Pohjois-Karjala",921,-3.9
"82500","Kitee Keskus","Kitee","Pohjois-Karjala",915,-4.1
"81210","Louhioja","Joensuu","Pohjois-Karjala",908,-3.5
"83140","Puromäki","Liperi","Pohjois-Karjala",906,-3.3
"82200","Hammaslahti","Joensuu","Pohjois-Karjala",903,-3.5
"81200","Eno Keskus","Joensuu","Pohjois-Karjala",901,-4.1
"83915","Vihtasuo","Juuka","Pohjois-Karjala",901,-3
"83985","Tuopanjoki","Juuka","Pohjois-Karjala",893,-3
"83320","Risti-Juojärvi","Liperi","Pohjois-Karjala",889,-3.3
"83150","Roukalahti","Liperi","Pohjois-Karjala",879,-3.5
"83630","Kuusjärvi","Outokumpu","Pohjois-Karjala",879,-3.4
"83460","Harinjärvi","Liperi","Pohjois-Karjala",877,-3.5
"81700","Lieksa Keskus","Lieksa","Pohjois-Karjala",869,-3
"83340","Kaarnalampi","Liperi","Pohjois-Karjala",869,-3.5
"83700","Polvijärvi Keskus","Polvijärvi","Pohjois-Karjala",869,-3.7
"83720","Kuorevaara","Polvijärvi","Pohjois-Karjala",866,-3.6
"83750","Sotkuma","Polvijärvi","Pohjois-Karjala",863,-3.6
"83760","Sola","Polvijärvi","Pohjois-Karjala",862,-3.6
"83430","Käsämä","Liperi","Pohjois-Karjala",861,-3.6
"59820","Purujärvi-Rajavaara","Kitee","Pohjois-Karjala",860,-2.2
"81810","Jamali","Lieksa","Pohjois-Karjala",858,-3.8
"59810","Suurikylä","Kitee","Pohjois-Karjala",854,-2.3
"82220","Niittylahti","Joensuu","Pohjois-Karjala",854,-3.4
"83450","Vaivio","Liperi","Pohjois-Karjala",854,-3.6
"82210","Suhmura","Joensuu","Pohjois-Karjala",853,-3.4
"83780","Horsmanaho","Polvijärvi","Pohjois-Karjala",848,-3.7
"75970","Kohtavaara","Nurmes","Pohjois-Karjala",846,-1
"75500","Nurmes Keskus","Nurmes","Pohjois-Karjala",840,-0.3
"83500","Outokumpu Keskus","Outokumpu","Pohjois-Karjala",840,-2.9
"80790","Kontioranta-Kontioniemi","Kontiolahti","Pohjois-Karjala",839,-3.3
"59800","Kesälahti Keskus","Kitee","Pohjois-Karjala",838,-1.9
"83480","Ahonkylä","Liperi","Pohjois-Karjala",830,-3.8
"83835","Ruvaslahti","Polvijärvi","Pohjois-Karjala",828,-3.8
"81560","Vuonisjärvi","Lieksa","Pohjois-Karjala",827,-4
"83900","Juuka Keskus","Juuka","Pohjois-Karjala",827,-3.1
"75650","Savikylä","Nurmes","Pohjois-Karjala",823,-1.1
"81220","Jakokoski","Kontiolahti","Pohjois-Karjala",822,-4
"83950","Ahmovaara","Juuka","Pohjois-Karjala",821,-3.5
"83660","Varislahti","Outokumpu","Pohjois-Karjala",819,-3.8
"83825","Kinahmo","Polvijärvi","Pohjois-Karjala",819,-3.8
"75840","Ylä-Valtimo","Valtimo","Pohjois-Karjala",816,-1.2
"82510","Kiteenlahti","Kitee","Pohjois-Karjala",814,-3.9
"83940","Nunnanlahti","Juuka","Pohjois-Karjala",811,-3.6
"83160","Tutjunniemi","Liperi","Pohjois-Karjala",810,-4
"81850","Mätäsvaara","Lieksa","Pohjois-Karjala",806,-4.2
"83330","Kaatamo","Liperi","Pohjois-Karjala",806,-3.9
"83840","Saarivaara","Polvijärvi","Pohjois-Karjala",805,-3.9
"81290","Ukkola","Joensuu","Pohjois-Karjala",798,-4.2
"81590","Vuonislahti","Lieksa","Pohjois-Karjala",798,-4.2
"81820","Kylänlahti","Lieksa","Pohjois-Karjala",796,-4.3
"83855","Martonvaara-Sammakkovaara","Polvijärvi","Pohjois-Karjala",796,-4
"83550","Kokonvaara","Outokumpu","Pohjois-Karjala",794,-3.9
"83830","Hukkala","Polvijärvi","Pohjois-Karjala",794,-4
"81270","Paukkaja","Joensuu","Pohjois-Karjala",791,-4.2
"81390","Revonkylä","Joensuu","Pohjois-Karjala",791,-4.3
"81950","Pankajärvi","Lieksa","Pohjois-Karjala",791,-4.3
"81320","Kuismavaara","Joensuu","Pohjois-Karjala",790,-4.3
"82580","Juurikka","Kitee","Pohjois-Karjala",790,-4
"75940","Mujejärvi","Nurmes","Pohjois-Karjala",788,-1.4
"83400","Viinijärvi","Liperi","Pohjois-Karjala",788,-4.1
"81360","Sarvinki","Joensuu","Pohjois-Karjala",787,-4.3
"81330","Luhtapohja","Joensuu","Pohjois-Karjala",785,-4.3
"83960","Koli","Lieksa","Pohjois-Karjala",784,-3.8
"75710","Karhunpää","Valtimo","Pohjois-Karjala",783,-1.3
"83870","Polvela-Timovaara","Juuka","Pohjois-Karjala",781,-4.1
"81570","Kelvä","Lieksa","Pohjois-Karjala",779,-4.4
"75990","Höljäkkä","Nurmes","Pohjois-Karjala",776,-1.5
"81860","Viekijärvi","Lieksa","Pohjois-Karjala",775,-4.4
"81350","Tokrajärvi","Ilomantsi","Pohjois-Karjala",774,-4.4
"83880","Kajoo","Juuka","Pohjois-Karjala",771,-4.2
"81660","Lehmikylä","Lieksa","Pohjois-Karjala",769,-4.5
"81450","Huhus-Käenkoski","Ilomantsi","Pohjois-Karjala",767,-4.5
"81420","Tyrjänsaari","Ilomantsi","Pohjois-Karjala",765,-4.5
"82300","Rääkkylä Keskus","Rääkkylä","Pohjois-Karjala",763,-3.9
"81230","Mönni","Kontiolahti","Pohjois-Karjala",762,-4.4
"82110","Heinävaara","Joensuu","Pohjois-Karjala",762,-3.9
"82290","Nieminen","Rääkkylä","Pohjois-Karjala",761,-4.1
"82730","Tuupovaara Keskus-Pirttiaho","Joensuu","Pohjois-Karjala",760,-4
"82900","Ilomantsi Keskus","Ilomantsi","Pohjois-Karjala",759,-2.6
"82590","Närsäkkälä","Kitee","Pohjois-Karjala",758,-4.3
"82675","Niirala-Jänisjoki","Tohmajärvi","Pohjois-Karjala",758,-4.2
"81235","Lehtoi","Kontiolahti","Pohjois-Karjala",757,-4.4
"83910","Paalasmaa","Juuka","Pohjois-Karjala",754,-4
"82350","Tikkala","Tohmajärvi","Pohjois-Karjala",748,-4
"75890","Saramo-Petäiskylä-Mujejärvi","Nurmes","Pohjois-Karjala",745,-1.7
"82660","Uusi-Värtsilä","Tohmajärvi","Pohjois-Karjala",745,-4.3
"82395","Haarajärvi","Kitee","Pohjois-Karjala",739,-4.1
"81750","Pankakoski","Lieksa","Pohjois-Karjala",735,-4.2
"82710","Kovero","Joensuu","Pohjois-Karjala",734,-4.1
"82335","Rasivaara","Rääkkylä","Pohjois-Karjala",733,-4.1
"82360","Onkamo","Tohmajärvi","Pohjois-Karjala",730,-4.2
"82380","Tolosenmäki","Kitee","Pohjois-Karjala",730,-4.2
"82655","Värtsilä Keskus","Tohmajärvi","Pohjois-Karjala",728,-4.4
"81430","Kivilahti","Ilomantsi","Pohjois-Karjala",725,-4.8
"81260","Ahveninen","Joensuu","Pohjois-Karjala",723,-4.7
"81970","Jongunjoki-Pankajärvi","Lieksa","Pohjois-Karjala",722,-4.8
"81295","Haapalahti","Joensuu","Pohjois-Karjala",720,-4.7
"82820","Maukkula","Ilomantsi","Pohjois-Karjala",717,-4.2
"82850","Kinnasniemi","Joensuu","Pohjois-Karjala",717,-4.2
"82815","Marjovaara","Joensuu","Pohjois-Karjala",716,-4.2
"75740","Pajukoski","Valtimo","Pohjois-Karjala",713,-1.8
"82830","Haukivaara","Ilomantsi","Pohjois-Karjala",711,-4.3
"81650","Hattuvaara","Lieksa","Pohjois-Karjala",701,-5
"82310","Oravisalo-Varpasalo","Rääkkylä","Pohjois-Karjala",701,-4.3
"75770","Puukari","Valtimo","Pohjois-Karjala",700,-1.9
"82670","Kaurila","Tohmajärvi","Pohjois-Karjala",700,-4.6
"81460","Käenkoski","Ilomantsi","Pohjois-Karjala",699,-5
"82685","Littilä","Tohmajärvi","Pohjois-Karjala",699,-4.6
"82760","Hoilola","Joensuu","Pohjois-Karjala",697,-4.4
"75790","Rumo","Valtimo","Pohjois-Karjala",695,-2
"82750","Öllölä","Joensuu","Pohjois-Karjala",694,-4.4
"82915","Sonkaja","Ilomantsi","Pohjois-Karjala",690,-4
"82180","Huhtilampi","Joensuu","Pohjois-Karjala",684,-4.4
"82600","Tohmajärvi Keskus","Tohmajärvi","Pohjois-Karjala",683,-4.8
"82460","Hummovaara","Kitee","Pohjois-Karjala",682,-4.3
"75930","Petäiskylä","Nurmes","Pohjois-Karjala",681,-2.2
"82120","Keskijärvi","Joensuu","Pohjois-Karjala",681,-4.4
"82865","Kokinvaara-Mannervaara","Joensuu","Pohjois-Karjala",678,-4.5
"58350","Villala","Kitee","Pohjois-Karjala",674,-5.2
"81470","Naarva","Ilomantsi","Pohjois-Karjala",674,-5.3
"82840","Pirttiaho","Joensuu","Pohjois-Karjala",673,-4.5
"82880","Mannervaara","Joensuu","Pohjois-Karjala",673,-4.5
"82870","Luutalahti","Joensuu","Pohjois-Karjala",672,-4.5
"75700","Valtimo Keskus","Valtimo","Pohjois-Karjala",670,-2.1
"82170","Uskali","Joensuu","Pohjois-Karjala",669,-4.4
"82770","Kaustajärvi","Tohmajärvi","Pohjois-Karjala",665,-4.6
"81720","Mähkö-Timitra","Lieksa","Pohjois-Karjala",653,-4.1
"82160","Oskola","Joensuu","Pohjois-Karjala",648,-4.6
"82140","Kiihtelysvaara Keskus","Joensuu","Pohjois-Karjala",644,-4.5
"82490","Heinoniemi","Kitee","Pohjois-Karjala",643,-4.5
"82980","Möhkö","Ilomantsi","Pohjois-Karjala",630,-4.4
"82960","Lehtovaara-Kuikkalampi","Ilomantsi","Pohjois-Karjala",623,-4.4
"82967","Hattu","Ilomantsi","Pohjois-Karjala",602,-4.6
"82430","Puhos-Leinovaara","Kitee","Pohjois-Karjala",574,-4.9
"81280","Uimaharju","Joensuu","Pohjois-Karjala",563,-5.2
"90400","Äimärautio","Oulu","Pohjois-Pohjanmaa",2845,3.1
"90100","Oulu Keskus","Oulu","Pohjois-Pohjanmaa",2643,4.9
"90230","Värttö-Maikkula","Oulu","Pohjois-Pohjanmaa",2348,2.9
"90120","Heinäpää","Oulu","Pohjois-Pohjanmaa",2326,4.4
"90140","Karjasilta","Oulu","Pohjois-Pohjanmaa",2153,5.1
"90130","Raksila","Oulu","Pohjois-Pohjanmaa",2085,3.3
"90420","Metsokangas","Oulu","Pohjois-Pohjanmaa",2002,2.5
"90530","Välivainio","Oulu","Pohjois-Pohjanmaa",1992,5.6
"90410","Kaakkuri","Oulu","Pohjois-Pohjanmaa",1892,2
"90540","Kuivasjärvi","Oulu","Pohjois-Pohjanmaa",1812,1.9
"90500","Tuira","Oulu","Pohjois-Pohjanmaa",1811,2.4
"90310","Madekoski","Oulu","Pohjois-Pohjanmaa",1807,0.2
"90220","Kontinkangas","Oulu","Pohjois-Pohjanmaa",1716,1.4
"90630","Korvensuora","Oulu","Pohjois-Pohjanmaa",1715,0.4
"90240","Iinatti","Oulu","Pohjois-Pohjanmaa",1707,0.8
"90650","Haapalehto","Oulu","Pohjois-Pohjanmaa",1694,0.8
"93825","Rukatunturi","Kuusamo","Pohjois-Pohjanmaa",1666,-1.5
"90440","Kempele Keskus","Kempele","Pohjois-Pohjanmaa",1656,2.3
"90450","Honkanen","Kempele","Pohjois-Pohjanmaa",1647,0.6
"90470","Varjakka","Oulu","Pohjois-Pohjanmaa",1603,0.6
"90460","Oulunsalo Keskus","Oulu","Pohjois-Pohjanmaa",1602,0.9
"91910","Tupos","Liminka","Pohjois-Pohjanmaa",1580,-0.3
"90150","Höyhtyä","Oulu","Pohjois-Pohjanmaa",1558,0.8
"90520","Taskila-Toppila","Oulu","Pohjois-Pohjanmaa",1554,0.3
"90510","Hietasaari","Oulu","Pohjois-Pohjanmaa",1519,1
"90830","Haukipudas Keskus","Oulu","Pohjois-Pohjanmaa",1518,0.1
"90570","Kaijonharju-Linnanmaa","Oulu","Pohjois-Pohjanmaa",1490,1
"90800","Pateniemi","Oulu","Pohjois-Pohjanmaa",1489,-0.7
"93600","Kuusamo Keskus","Kuusamo","Pohjois-Pohjanmaa",1442,-1.9
"90620","Rusko-Heikinharju","Oulu","Pohjois-Pohjanmaa",1419,-0.7
"90550","Pyykkösjärvi-Puolivälikangas","Oulu","Pohjois-Pohjanmaa",1405,1.4
"84100","Ylivieska Keskus","Ylivieska","Pohjois-Pohjanmaa",1394,-3.2
"90480","Hailuoto","Hailuoto","Pohjois-Pohjanmaa",1388,-0.7
"90900","Kiiminki Keskus","Oulu","Pohjois-Pohjanmaa",1374,0.1
"90250","Kaukovainio","Oulu","Pohjois-Pohjanmaa",1373,1.3
"90840","Haukipudas Asemanseutu","Oulu","Pohjois-Pohjanmaa",1371,-1.3
"85100","Kalajoki Keskus","Kalajoki","Pohjois-Pohjanmaa",1360,-1.2
"90560","Koskela-Oulu","Oulu","Pohjois-Pohjanmaa",1360,0.6
"90580","Rajakylä","Oulu","Pohjois-Pohjanmaa",1357,0.3
"90910","Kontio","Oulu","Pohjois-Pohjanmaa",1342,-0.5
"90810","Kiviniemi","Oulu","Pohjois-Pohjanmaa",1321,-0.3
"90940","Jääli","Oulu","Pohjois-Pohjanmaa",1321,-0.7
"90820","Kello","Oulu","Pohjois-Pohjanmaa",1314,-1
"90670","Hiukkavaara","Oulu","Pohjois-Pohjanmaa",1311,-1.4
"92100","Raahe Keskus","Raahe","Pohjois-Pohjanmaa",1311,-1.1
"86600","Haapavesi Keskus","Haapavesi","Pohjois-Pohjanmaa",1287,1.5
"91900","Liminka Keskus","Liminka","Pohjois-Pohjanmaa",1260,-1.8
"92140","Pattijoki Keskus","Raahe","Pohjois-Pohjanmaa",1259,-2.4
"90660","Sanginsuu","Oulu","Pohjois-Pohjanmaa",1246,-1.8
"90860","Halosenniemi","Oulu","Pohjois-Pohjanmaa",1239,-1.6
"85500","Nivala Keskus","Nivala","Pohjois-Pohjanmaa",1236,-2
"84770","Isokoski","Ylivieska","Pohjois-Pohjanmaa",1229,-3.8
"93820","Aikkila-Rukatunturi","Kuusamo","Pohjois-Pohjanmaa",1204,-2.7
"84540","Vähäkangas","Ylivieska","Pohjois-Pohjanmaa",1189,-4.1
"93840","Patoniemi","Kuusamo","Pohjois-Pohjanmaa",1181,-2.9
"86300","Oulainen Keskus","Oulainen","Pohjois-Pohjanmaa",1176,1.6
"91930","Ala-Temmes","Liminka","Pohjois-Pohjanmaa",1150,-2.2
"84880","Raudaskylä","Ylivieska","Pohjois-Pohjanmaa",1143,-4.4
"91410","Jokirinne","Muhos","Pohjois-Pohjanmaa",1138,-2.2
"91980","Lumijoki","Lumijoki","Pohjois-Pohjanmaa",1137,-2.3
"95110","Kuivaniemi kk","Ii","Pohjois-Pohjanmaa",1122,-3.9
"91430","Leppiniemi","Muhos","Pohjois-Pohjanmaa",1121,-2.3
"92130","Isoholmi-Antinkangas","Raahe","Pohjois-Pohjanmaa",1119,-2.1
"90850","Martinniemi","Oulu","Pohjois-Pohjanmaa",1116,-1.2
"91500","Muhos Keskus","Muhos","Pohjois-Pohjanmaa",1116,-2.4
"91100","Ii Keskus","Ii","Pohjois-Pohjanmaa",1104,-2.3
"86900","Pyhäkumpu","Pyhäjärvi","Pohjois-Pohjanmaa",1097,0.9
"91510","Rova","Muhos","Pohjois-Pohjanmaa",1095,-2.3
"84650","Kantokylä","Ylivieska","Pohjois-Pohjanmaa",1071,-4.8
"93730","Poussu","Kuusamo","Pohjois-Pohjanmaa",1070,-3
"95100","Kuivaniemi Keskus","Ii","Pohjois-Pohjanmaa",1069,-4.3
"91950","Temmes","Tyrnävä","Pohjois-Pohjanmaa",1064,-2.7
"86810","Pellikkaperä","Pyhäjärvi","Pohjois-Pohjanmaa",1060,1.1
"84460","Tuomiperä","Ylivieska","Pohjois-Pohjanmaa",1059,-4.9
"91110","Ii Asemanseutu","Ii","Pohjois-Pohjanmaa",1056,-2.5
"93850","Käylä-Patoniemi","Kuusamo","Pohjois-Pohjanmaa",1056,-3.7
"92120","Ollinsaari-Mestauskallio","Raahe","Pohjois-Pohjanmaa",1054,-2.6
"85180","Rahja","Kalajoki","Pohjois-Pohjanmaa",1047,-1.9
"86680","Vatjusjärvi","Haapavesi","Pohjois-Pohjanmaa",1046,0.5
"92180","Lapaluoto","Raahe","Pohjois-Pohjanmaa",1039,-2.7
"95130","Hyryoja","Ii","Pohjois-Pohjanmaa",1037,-4.5
"93920","Määttälänvaara","Kuusamo","Pohjois-Pohjanmaa",1034,-3.2
"85140","Tynkä","Kalajoki","Pohjois-Pohjanmaa",1032,-2
"91800","Tyrnävä","Tyrnävä","Pohjois-Pohjanmaa",1030,-4.1
"85800","Haapajärvi Keskus","Haapajärvi","Pohjois-Pohjanmaa",1029,-0.9
"93940","Vuotunki","Kuusamo","Pohjois-Pohjanmaa",1017,-3.3
"85630","Sarjanahde","Nivala","Pohjois-Pohjanmaa",1011,-1.9
"85410","Sievi Keskus","Sievi","Pohjois-Pohjanmaa",1010,-2.1
"85160","Rautio","Kalajoki","Pohjois-Pohjanmaa",1004,-2.2
"91210","Jakkukylä","Oulu","Pohjois-Pohjanmaa",1004,-3
"86650","Kytökylä-Joutenniva","Haapavesi","Pohjois-Pohjanmaa",1002,0.2
"85120","Metsä","Kalajoki","Pohjois-Pohjanmaa",997,-2.2
"93680","Vasaraperä","Kuusamo","Pohjois-Pohjanmaa",997,-3.8
"85150","Typpö","Kalajoki","Pohjois-Pohjanmaa",996,-2.2
"86360","Ilveskorpi","Raahe","Pohjois-Pohjanmaa",991,0.6
"92160","Saloinen","Raahe","Pohjois-Pohjanmaa",989,-3
"86110","Parhalahti","Pyhäjoki","Pohjois-Pohjanmaa",986,0.2
"86440","Lampinsaari","Raahe","Pohjois-Pohjanmaa",980,0.5
"85340","Jyrinki","Sievi","Pohjois-Pohjanmaa",979,-2.1
"86220","Merijärvi Keskus","Merijärvi","Pohjois-Pohjanmaa",979,0.3
"86800","Pyhäsalmi","Pyhäjärvi","Pohjois-Pohjanmaa",971,1.2
"86210","Petäjäskoski","Oulainen","Pohjois-Pohjanmaa",964,0.2
"86350","Kilpua","Oulainen","Pohjois-Pohjanmaa",963,0.5
"86550","Mieluskylä","Haapavesi","Pohjois-Pohjanmaa",962,0.2
"86160","Pirttikoski","Pyhäjoki","Pohjois-Pohjanmaa",959,0.1
"86170","Yppäri","Pyhäjoki","Pohjois-Pohjanmaa",956,0.1
"91200","Yli-Ii Keskus","Oulu","Pohjois-Pohjanmaa",956,-3.3
"93630","Kuoliovaara","Kuusamo","Pohjois-Pohjanmaa",956,-4
"85430","Koivisto","Sievi","Pohjois-Pohjanmaa",953,-2.4
"95160","Oijärvi-Lamminperä","Ii","Pohjois-Pohjanmaa",950,-5.2
"86100","Pyhäjoki Keskus","Pyhäjoki","Pohjois-Pohjanmaa",949,0
"86690","Karsikas","Haapavesi","Pohjois-Pohjanmaa",948,-0.1
"85640","Maliskylä","Nivala","Pohjois-Pohjanmaa",946,-2.3
"85820","Oksava","Haapajärvi","Pohjois-Pohjanmaa",944,-1.9
"92150","Kummatti-Junnilanmäki","Raahe","Pohjois-Pohjanmaa",944,-2.6
"91560","Kylmälänkylä","Muhos","Pohjois-Pohjanmaa",939,-3.4
"68150","Hillilä","Kalajoki","Pohjois-Pohjanmaa",938,-3.6
"85540","Mönkö","Nivala","Pohjois-Pohjanmaa",934,-2.6
"93195","Kokkokylä","Pudasjärvi","Pohjois-Pohjanmaa",927,-3.7
"93760","Kemilä-Murtovaara-Teeriranta","Kuusamo","Pohjois-Pohjanmaa",925,-3.9
"86240","Pyhänkoski","Merijärvi","Pohjois-Pohjanmaa",924,0
