"Vanhojen vapaarahoitteisten asuntojen hinnat muuttujina Nelj‰nnes,"
"Talotyyppi, Rakennusvuosi, Vuosi, Postinumero ja Tiedot"

" ";" ";" ";" ";" ";"Keskihinta";"Lukum‰‰r‰"
"Vuosi"
" ";"Talotyypit yhteens‰"
" ";" ";"Rakennusvuodet yhteens‰"
" ";" ";" ";"2011"
" ";" ";" ";" ";"02420";2212;11
" ";" ";" ";" ";"02430";2418;64
" ";" ";" ";" ";"02450";2924;22
" ";" ";" ";" ";"02460";1837;24
" ";" ";" ";" ";"02480";2537;19
" ";" ";" ";" ";"02540";.;2
" ";" ";" ";" ";"02550";.;2
" ";" ";" ";" ";"02570";.;4
" ";" ";" ";" ";"02580";2192;17
" ";" ";" ";" ";"02600";3428;124
" ";" ";" ";" ";"02610";3554;71
" ";" ";" ";" ";"02620";2485;70
" ";" ";" ";" ";"02630";3134;49
" ";" ";" ";" ";"02650";3043;262
" ";" ";" ";" ";"02660";3382;28
" ";" ";" ";" ";"02680";.;1
" ";" ";" ";" ";"02700";3711;76
" ";" ";" ";" ";"02710";2600;105
" ";" ";" ";" ";"02720";2913;16
" ";" ";" ";" ";"02730";3127;22
" ";" ";" ";" ";"02740";3259;16
" ";" ";" ";" ";"02750";3346;77
" ";" ";" ";" ";"02760";2632;257
" ";" ";" ";" ";"02770";2686;79
" ";" ";" ";" ";"02780";2763;54
" ";" ";" ";" ";"02810";2924;8
" ";" ";" ";" ";"02820";.;1
" ";" ";" ";" ";"02860";.;.
" ";" ";" ";" ";"02880";2439;60
" ";" ";" ";" ";"02920";2893;41
" ";" ";" ";" ";"02940";3022;123
" ";" ";" ";" ";"02970";2910;15
" ";" ";" ";" ";"03100";2104;293
" ";" ";" ";" ";"03150";.;.
" ";" ";" ";" ";"03250";1889;19
" ";" ";" ";" ";"03300";.;.
" ";" ";" ";" ";"03320";.;.
" ";" ";" ";" ";"03400";1918;51
" ";" ";" ";" ";"03600";1558;95
" ";" ";" ";" ";"03620";1510;6
" ";" ";" ";" ";"03810";.;3
" ";" ";" ";" ";"03850";1335;6
" ";" ";" ";" ";"04130";2386;64
" ";" ";" ";" ";"04200";2415;214
" ";" ";" ";" ";"04220";2554;38
" ";" ";" ";" ";"04230";2189;138
" ";" ";" ";" ";"04240";.;2
" ";" ";" ";" ";"04250";2564;78
" ";" ";" ";" ";"04260";2099;72
" ";" ";" ";" ";"04300";2536;98
" ";" ";" ";" ";"04310";2674;22
" ";" ";" ";" ";"04320";2231;105
" ";" ";" ";" ";"04330";2472;18
" ";" ";" ";" ";"04340";2091;34
" ";" ";" ";" ";"04350";.;1
" ";" ";" ";" ";"04360";.;1
