pnro lprice hinta2015 trendi2015 trendimuutos
00100 2.49981218155342 6311.78758244314 0.0330966841826822 -0.00414940271867459
00120 2.55661746534065 6520.46732835247 0.0297477124630926 -0.0037901935134641
00130 2.63604252118975 7256.58237160769 0.035663111517724 -0.00342154985705478
00140 2.63450022480738 7145.68606138463 0.0327958597401569 -0.00357986706431504
00150 2.54695972220714 6804.88907839407 0.0432787752559136 -0.002303232002296
00160 2.60204135301429 6893.7637095457 0.0309377997572109 -0.00400578222282291
00170 2.54107904030515 6637.25321820327 0.0355654757703489 -0.00384022635939139
00180 2.50258812860733 6344.34428810158 0.0352717399828295 -0.00352344581545907
00190 2.35604409689609 5070.57424201687 0.0163664251406593 -0.00521082981779524
00200 2.3257484822244 5180.23239144684 0.0270219043624246 -0.00481697225204174
00210 2.38378987234228 5373.67487217572 0.0239567577116839 -0.00454385418603573
00220 2.21716933022814 4340.12715530062 0.01275253166572 -0.0054412179417788
00240 2.29326673744615 4924.60766415515 0.0253866284440323 -0.00419159728397552
00250 2.42545974298573 5752.03724753794 0.0303999827477725 -0.00392804147179113
00260 2.47447592354764 6162.64014410128 0.0369065701175541 -0.0028753549919836
00270 2.37817031900947 5728.72463876334 0.0398021725929774 -0.00333043215865516
00280 2.29585013547685 5026.53632326942 0.0295192059342087 -0.00390588742536507
00290 2.23210205016225 4443.82954509773 0.0148972053250777 -0.00523222659042561
00300 2.25142075147597 5090.92375459248 0.0424452980059074 -0.00291124523943441
00310 2.07554419712852 3721.77580232049 0.0139744236476145 -0.0043219816746907
00320 2.15980148891688 4538.75566008317 0.0412710341831395 -0.00188411714012353
00330 2.35118037568802 5183.4060125686 0.0266890613196252 -0.00334935481404469
00340 2.21792355815447 4102.49571869986 0.00513244055614308 -0.00459413237303092
00350 2.14736234772256 4397.71528775877 0.0351330659822045 -0.00284617176238184
00360 1.96916362923324 3394.96290516556 0.0187055249113832 -0.00356774270862094
00370 2.01917115879285 3413.6340145954 0.00753626921259992 -0.00470804313701041
00380 2.14007633185025 4219.14014416264 0.0273913938892995 -0.00328176274902992
00390 1.88598171916792 3136.20413889254 0.0196207813468945 -0.00348745202067176
00400 2.00349246158102 3921.04474376718 0.0425700699453003 -0.00205477975965655
00410 1.77676671069097 2820.95130748018 0.0190799387259461 -0.00386819661960056
