Postinumero;alue;vakiluku
15860;Kartano;3481
15870;Salpakangas;4068
15880;Soramäki;4973
15900;Jalkaranta;1711
15950;Kiikkula;4167
15980;Messilä;0
16100;Uusikylä;1440
16160;Okkeri;105
16200;Artjärvi Keskus;687
16230;Artjärvi Kirkonkylä;303
16260;Hietana;182
16270;Villikkala;151
16280;Kuivanto;616
16300;Orimattila Keskus;10683
16310;Virenoja;604
16320;Pennala;998
16330;Heinämaa;333
16350;Niinikoski;329
16390;Pakaa;295
16450;Mallusjoki;504
16500;Herrala;885
16510;Luhtikylä;461
16540;Mertie;289
16600;Järvelä;3073
16610;Kärkölä kk;771
16630;Tennilä;330
16670;Lappila;641
16710;Hollola kk;965
16730;Kutajärvi;1007
16790;Manskivi;104
16800;Hämeenkoski;2075
16900;Lammi kk;5006
16960;Iso-Evo;175
16970;Evo;73
16980;Ronni;11
17110;Sipilä;1318
17120;Paimela;579
17130;Vesivehmaa;780
17150;Urajärvi;378
17200;Vääksy Keskus;5357
17220;Pietilä;166
17240;Kalkkinen;438
17320;Asikkala;353
17410;Viitaila;261
17430;Kurhila;302
17440;Vähimaa;60
17450;Iso-Äiniö-Vähimaa;223
17470;Maakeski;287
17500;Padasjoki Keskus;1967
17510;Nyystölä;292
17530;Arrakoski;243
17610;Auttoinen;320
17630;Vesijako;118
17710;Torittu;73
17740;Kasiniemi-Torittu;51
17780;Harmoinen;63
17800;Kuhmoinen Keskus;1924
17840;Harjunsalmi;81
17850;Pihlajakoski;90
17870;Ruolahti;63
17930;Päijälä;86
17950;Kylämä;25
17970;Puukkoinen;36
18100;Heinola Keskus;7164
18120;Reumasairaala-alue;920
18130;Tommola-Sahanniemi;1891
18150;Jyränkö;2475
18200;Kaakonlampi-Pyhätön;2155
18300;Heinola kk;2946
18600;Myllyoja;831
19110;Vierumäki taajama;686
19120;Vierumäki urheiluopisto;133
19160;Huutotöyry;493
19210;Lusi;490
19230;Onkiniemi;123
19250;Syrjäkoski;57
19260;Paaso-Syrjäkoski;130
19310;Karilanmaa;88
19320;Nikkaroinen;93
19370;Nuoramoinen;451
19410;Kuortti;468
19420;Mansikkamäki;182
19430;Pertunmaa Keskus;781
19460;Ruorasmäki;126
19470;Lihavanpää-Hartosenpää;153
19480;Hartosenpää;69
19510;Lepsala;36
19540;Koitti-Lepsala;304
19600;Hartola Keskus;2320
19610;Murakka;117
19620;Pohela;190
19630;Kalhonkylä;86
19650;Joutsa Keskus;3523
19670;Mieskonmäki;188
19700;Sysmä Keskus;3099
19730;Särkilampi;32
19740;Liikola;123
19770;Valittula;134
19850;Putkijärvi-Siltasuo;107
19910;Tammijärvi;455
19920;Pappinen;178
19950;Luhanka;310
20100;Turku Keskus;24887
20200;Iso-Heikkilä;1899
20210;Pahaniemi;4166
20240;Pansio-Perno;5202
20250;Pitkämäki-Muhkuri;746
20300;Pohjola-Kastu;6268
20320;Kuninkoja-Mälikkälä;15842
20360;Kärsämäki-Urusvuori-Halinen;10868
20380;Räntämäki-Saramäki;2804
20400;Moisio;3234
20460;Jäkärlä;3550
20500;Vesilinna;5907
20520;Kupittaa;2833
20540;Nummi-Ylioppilaskylä;20103
20610;Varissuo;12842
20660;Littoinen;7326
20700;Vartiovuori-Samppalinna;5528
20720;Vasaramäki;5988
20730;Skanssi;25
20740;Ilpoinen-Harittu;9491
20750;Huhkola-Lauste-Vaala;5125
20760;Piispanristi;3980
20780;Kaarina Keskus;11103
20800;Ammattikorkeakoulu;0
20810;Martti-Korppolaismäki;15739
20880;Uittamo;4142
20900;Moikoinen-Pikisaari;8236
20960;Kakskerta;1440
21100;Naantali Keskus;6853
21110;Taimo-Nuhjala-Lietsala;7354
21120;Viherjäinen;1904
21130;Poikko;595
21140;Rymättylä Keskus;1338
21150;Röölä;300
21160;Merimasku;1695
21180;Livonsaari;204
21195;Velkua;235
21200;Raisio Keskus;12071
21210;Hakinmäki;2601
21220;Somersoja;1406
21230;Lemu;1857
21240;Askainen Keskus;875
21250;Masku;6718
21260;Ihala;3814
21270;Nousiainen;4843
21280;Kuloinen;2275
21290;Rusko;3960
21310;Vahto;1776
21330;Paattinen;1836
21340;Tortinmäki;601
21350;Ilmarinen;1877
21360;Lieto Asemanseutu;1854
21370;Käyrä;600
21380;Aura Keskus;3354
21410;Vanhalinna;2102
21420;Lieto Keskus;7682
21430;Yliskulma;805
21450;Tarvasjoki Keskus;1854
21480;Prunkila;348
21490;Marttila;1094
21500;Piikkiö;7096
21510;Hevonpää;469
21520;Naskarla;11
21530;Paimio Keskus;8263
21540;Preitilä;1407
21555;Taatila;333
21560;Ollila;536
21570;Sauvo Keskus;2568
21590;Karuna;434
21600;Parainen Keskus;10791
21610;Kirjala;1112
21620;Kuusisto;2069
21630;Lielahti;596
21650;Lillandet;417
21660;Nauvo Keskus;751
21670;Mattnäs-Nötö;221
21680;Nötö;8
21710;Korppoo Keskus-Utö;637
21720;Korpoström;24
21740;Utö;46
21750;Norrskata;101
21760;Houtskär Keskus;419
21770;Mossala;140
21800;Kyrö;2441
21820;Kumila;363
21840;Karinainen;387
21860;Auvainen;426
21870;Riihikoski;1954
21880;Pöytyä;424
21890;Haveri;305
21900;Yläne Keskus;1495
21930;Uusikartano;563
22100;Maarianhamina;11405
22120;Möckelö;640
22130;Gottby;844
22140;Önningby;883
22150;Jomala Centrum;1904
22160;Järsö;306
22220;Emkarby;398
22240;Hammarland;1500
22270;Storby;943
22310;Pålsböle;542
22320;Ödkarby;843
22330;Tjudö;319
22340;Geta;491
22410;Godby;1523
22430;Saltvik;680
22520;Tosarby;509
22530;Sund;517
22550;Vårdö;410
22610;Lemland;1471
22630;Lumparland;397
22710;lands Degerby;573
22720;Sottunga;97
22730;Kökar;235
22810;Seglinge;17
22820;Kumlinge;216
22830;Enklinge;82
22840;Lappo;72
22910;Torsholma;91
22920;Brändö-Åland;156
22930;Fiskö;31
22940;va;87
22950;Jurmo;51
23100;Mynämäki Keskus;6306
23120;Mietoinen Keskus;886
23140;Hietamäki;704
23200;Vinkkilä;1642
23210;Vehmaa;531
23260;Rautila;181
23310;Taivassalo;1669
23360;Kustavi;874
23390;Iniö;225
23450;Lokalahti;967
23500;Uusikaupunki Keskus;11249
23600;Kalanti Keskus;2213
23660;Kalanti Asemanseutu;387
23800;Laitila Keskus;7936
23840;Soukainen;214
23880;Suontaka;157
23930;Pyhämaa;554
23950;Pyhäranta;573
23960;Santtio;259
24100;Salo Keskus;9195
24130;Ylhäisi;3972
24240;Rappula;4049
24260;Ollikkala;4615
24280;Tupuri-Hähkänä;5356
24800;Halikko Keskus;4791
24910;Halikko Asemanseutu;1057
25110;Kruusila;331
25130;Muurla;1586
25160;Tuohittu;111
25170;Kotalato;137
25180;Romsila;235
25190;Inkere;998
25210;Vartsala;385
25230;Angelniemi;390
25240;Hajala;675
25250;Märynummi;1069
25260;Vaskio;1035
25320;Raatala;452
25330;Kuusjoki Keskus;844
25340;Kanunki;421
25360;Pertteli Keskus;1238
25370;Hiisi;694
25380;Rekijoki;500
25390;Kiikala Keskus;836
25410;Suomusjärvi Keskus;1146
25420;Lahnajärvi;159
25430;Kettula;72
25460;Toija;1236
25470;Kisko kk;290
25500;Perniö Keskus;3535
25520;Perniö Asemanseutu;676
25540;Knaapila;215
25550;Aijala;131
25560;Koski Asemanseutu;229
25570;Teijo-Mathildedal;575
25610;Ylönkylä;402
25630;Finby;308
25640;Förby;264
25650;Strömma;98
25660;Mathildedal;140
25700;Kemiö Keskus;2316
25710;Vreta-Vestlax;334
25730;Mjösund;111
25760;Kiila;125
25810;Mark;63
25820;Vestlax;116
25830;Västanfjärd Keskus;501
25840;Nivelax;292
25860;Björkboda;326
25870;Dragsfjärd;974
25900;Taalintehdas;1460
25910;Vänoxa;16
25930;Kasnäs;71
25940;Hiittinen;77
25950;Rosala-Kasnäs-Hitis;127
25960;Högsåra;46
26100;Rauma Keskus;15612
26200;Merirauma-Kappelinluhta;5110
26410;Kaaro;1622
26510;Uotila;2753
26560;Kolla;737
26660;Paroalho;4971
26720;Monnanummi;392
26740;Vasarainen;557
26820;Sampaanala;1590
26840;Kortela;827
26910;Unaja;691
26930;Vermuntila;661
26950;Voiluoto;404
27100;Eurajoki Keskus;3318
27110;Irjanne;560
27130;Eurajoki asemanseutu;341
27150;Lapijoki;1292
27160;Olkiluoto;0
27170;Kuivalahti;376
27220;Ala-Kieri;641
27230;Lappi;2181
27250;Kodiksami;155
27260;Kuolimaa;199
27310;Kodisjoki;549
27320;Ihode;770
27340;Reila;494
27400;Kiukainen Keskus;1401
27420;Panelia Asemanseutu;267
27430;Panelia;1257
27450;Harola;214
27500;Kauttua;3301
27510;Eura Keskus;4282
27600;Hinnerjoki;754
27640;Honkilahti kk;320
27650;Honkilahti;341
27670;Mannila;189
27710;Köyliö Keskus;1126
27730;Tuiskula;200
27740;Voitoinen;176
27750;Yttilä;360
27800;Säkylä Keskus;3293
27820;Iso-Vimma;794
27840;Kakkuri;475
27860;Vuori;365
27910;Huovinrinne;172
27920;Otajoki;294
28100;Pori Keskus;12286
28120;Käppärä-Isomäki;3772
28130;Impola;5908
28190;Pormestarinluoto;3823
28200;Toejoki;4918
28220;Ruosniemi;4650
28240;Isojoenranta;743
28260;Harjunpää;989
28300;Kalaholma-Väinölä;2617
28330;Koivistonluoto;2821
28360;Vanhakoivisto;4349
28370;Sampola;3230
28400;Ulvila Keskus;5772
28430;Kartano-Harmaalinna;1758
28450;Vanha-Ulvila;4370
28500;Keskussairaala-alue-Tiilimäki;726
28540;Pinomäki;669
28560;Lattomeri;507
28580;Niittymaa;575
28600;Vähärauma;4697
28610;Musa-Tiiliruukki;4152
28660;Pietniemi-Leppäkorpi;3947
28760;Kyläsaari;2370
28800;Pihlava;4492
28840;Yyteri-Kaanaa;930
28880;Mäntyluoto;432
28900;Tahkoluoto-Reposaari;1050
29100;Luvia Keskus;3115
29180;Peränkylä;240
29200;Harjavalta Keskus;7424
29250;Nakkila Keskus;4915
29270;Hormisto;480
29280;Järvimaa;302
29310;Kaasmarkku;586
29320;Leineperi;251
29340;Kullaa Keskus;943
29350;Palus;296
29570;Söörmarkku;956
29600;Noormarkku Keskus;4962
29630;Pomarkku Keskus;2052
29640;Honkakoski;295
29680;Kairila;312
29700;Ahlainen;785
29720;Lamppi;201
29740;Etelämaa;110
29750;Pohjansaha;124
29760;Köörtilä;88
29790;Tuorila;332
29810;Siikainen Keskus;954
29830;Sammi;218
29860;Otamo;140
29880;Leväsjoki-Saarineva;234
29900;Merikarvia Keskus-Rannikko;2308
29940;Kuvaskangas;290
30100;Forssa Keskus;10714
30300;Viksberg;2649
30420;Tölö;4872
31110;Matku;597
31130;Koijärvi;276
31140;Menonen;209
31160;Nuutajärvi;311
31170;Savijoki;201
31230;Susikas;219
31250;Teuro;211
31300;Tammela Keskus;3278
31310;Mustiala;116
31340;Porras;617
31350;Vistinkoski;246
31370;Eerikkilän Urheiluopisto;0
31380;Letku-Torro;343
31400;Somero Keskus;6300
31410;Ylöpirtti;403
31450;Häntälä;359
31460;Hirsjärvi;261
31470;Somerniemi;711
31490;Terttilä;272
31500;Koski Tl;2466
31520;Pitkäjärvi;524
31530;Pyöli;376
31600;Jokioinen Keskus;3921
31610;Vaulammi;479
31620;Latovainio;427
31630;Minkiö;619
31640;Humppila Keskus;2270
31650;Venäjänkangas;212
31700;Urjala Asemanseutu-Hanhisuo;1493
31720;Urjalankylä-Kehro;400
31730;Honkola;134
31750;Kehro;59
31760;Urjala Keskus;1988
31810;Oriniemi;414
31830;Halkivaha;304
31850;Koskioinen;164
31860;Tursa;322
31900;Punkalaidun Keskus;1997
31930;Vanttila;111
31950;Sadonmaa;185
31960;Orisuo;77
31970;Kanteenmaa;179
32100;Ypäjä Keskus;2117
32140;Ypäjä Asemanseutu;331
32200;Loimaa Keskus;8328
32210;Loimaa kk;2481
32250;Kojonkulma;336
32260;Kojonperä;177
32270;Metsämaa-Murto;507
32280;Metsäkorpi;164
32300;Mellilä;1341
32410;Niinijoki;609
32430;Ylhäinen;90
32440;Alastaro Keskus;1873
32450;Tammiainen;297
32500;Oripää Keskus;1226
32520;Latva;168
32560;Virttaa;461
32610;Vampula Keskus;1082
32620;Rutava;440
32700;Huittinen Keskus;7947
32710;Sampu;635
32730;Keikyä;792
32740;Äetsä Keskus,;1876
32760;Suttila;199
32770;Huhtamo;252
32800;Kokemäki Keskus;4219
32810;Peipohja;1936
32830;Riste;518
32860;Korkeaoja;181
32910;Kauvatsa Asemanseutu;325
32920;Kauvatsa;632
33100;Tampere Keskus;16207
33180;Lapinniemi-Käpylä;2427
33200;Tampere Keskus Läntinen;6657
33210;Itä-Amuri-Tammerkoski;5762
33230;Länsi-Amuri;5758
33240;Tahmela;1699
33250;Pispala;2350
33270;Epilä;7467
33300;Rahola;4644
33310;Tesoma;7461
33330;Myllypuro-Kalkku;3451
33340;Haukiluoma-Ikuri;5095
33380;Pitkäniemi;18
33400;Luoteis-Tampere;7172
33410;Lentävänniemi;4345
33420;Lamminpää;2117
33430;Vuorentausta;2929
33450;Siivikkala;2813
33470;Ylöjärvi Keskus;6038
33480;Manninmäki-Haavisto;6984
33500;Osmonmäki-Petsamo;10876
33520;Keskussairaala-alue-Kauppi;959
33530;Kissanmaa;4578
33540;Kaleva;8274
33560;Takahuhti;10152
33580;Atala-Linnainmaa;14435
33610;Olkahinen-Tasanne;3952
33680;Aitolahti;1743
33700;Messukylä;1748
33710;Kaukajärvi;17448
33720;Hervanta;23436
33730;Leinola-Vehmainen;1791
33800;Nekala;4938
33820;Koivistonkylä;9251
33840;Peltolammi;3508
33850;Multisilta;2501
33870;Vuores;754
33880;Höytämö;3809
33900;Härmälä-Rantaperkiö;9991
33920;Toivio;1206
33950;Killo;5080
33960;Suuppa;10304
33980;Pirkkala kk;1338
34110;Lakiala;1328
34130;Ylinen;1320
34140;Mutala;760
34150;Kyrönlahti;399
34180;Länsi-Teisko;165
34240;Kämmenteisko;1581
34260;Terälahti;893
34270;Velaatta;311
34300;Kuru Keskus;1596
34320;Parkkuu;239
34330;Poikelus;276
34410;Murole;180
34420;Muroleen Kanava;50
34430;Kekkonen;143
34450;Jäminkipohja;372
34510;Luode;108
34530;Länsi-Aure;72
34550;Itä-Aure;176
34600;Ruovesi Keskus-Nenonen;2748
34640;Mustajärvi;233
34710;Vaskivesi;385
34730;Vaskuu;119
34740;Koro;83
34770;Kurjenkylä;251
34800;Virrat Keskus;4872
34870;Visuvesi;629
