year pnro price n
2011 14200 1502.0 104
2011 14300 1202.0 7
2011 14500 1283.0 14
2011 14700 1260.0 13
2011 15100 2019.0 78
2011 15110 2296.0 97
2011 15140 2369.0 277
2011 15150 1632.0 114
2011 15160 2401.0 10
2011 15170 1257.0 110
2011 15200 1406.0 52
2011 15210 1459.0 120
2011 15230 1229.0 22
2011 15240 1306.0 164
2011 15300 1549.0 40
2011 15320 1839.0 7
2011 15500 1202.0 90
2011 15520 1551.0 60
2011 15540 1454.0 28
2011 15550 1250.0 60
2011 15560 1229.0 72
2011 15610 1899.0 29
2011 15700 1490.0 60
2011 15800 1640.0 65
2011 15830 1303.0 97
2011 15840 1352.0 24
2011 15850 2052.0 7
2011 15860 1324.0 82
2011 15870 1704.0 50
2011 15880 1406.0 44
2011 15900 2416.0 19
2011 15950 1696.0 100
2011 16100 735.0 11
2011 16300 1351.0 132
2011 16600 1265.0 16
2011 16900 1013.0 78
2011 17200 1310.0 60
2011 17500 918.0 18
2011 17800 990.0 21
2011 18100 1299.0 136
2011 18130 770.0 55
2011 18150 919.0 57
2011 18200 859.0 34
2011 18300 947.0 17
2011 19430 774.0 6
2011 19600 1075.0 19
2011 19650 1032.0 36
2011 19700 930.0 27
2011 20100 2642.0 634
2011 20200 1912.0 86
2011 20210 1229.0 53
2011 20240 1162.0 44
2011 20300 2033.0 117
2011 20320 1683.0 319
2011 20360 1315.0 197
2011 20380 2122.0 11
2011 20400 1930.0 6
2011 20460 1251.0 46
2011 20500 2486.0 147
2011 20520 2037.0 55
2011 20540 1716.0 191
2011 20610 1237.0 221
2011 20660 2160.0 22
2011 20700 2436.0 146
2011 20720 1888.0 137
2011 20740 1731.0 146
2011 20750 1273.0 94
2011 20760 1770.0 77
2011 20780 1739.0 171
2011 20810 2519.0 268
2011 20880 1764.0 88
2011 20900 2358.0 47
2011 21100 1991.0 102
2011 21110 1695.0 88
2011 21140 1147.0 8
2011 21160 1859.0 17
2011 21200 1547.0 233
2011 21210 1400.0 45
2011 21220 1539.0 15
2011 21230 1430.0 6
2011 21250 1950.0 34
2011 21260 2053.0 17
2011 21270 1494.0 9
2011 21280 2200.0 22
2011 21290 1762.0 14
2011 21310 1410.0 9
2011 21360 1455.0 7
2011 21380 1355.0 29
2011 21420 1844.0 59
2011 21450 1133.0 11
2011 21490 1261.0 6
2011 21500 1659.0 61
2011 21530 1334.0 106
2011 21570 1293.0 7
2011 21600 1486.0 103
2011 21620 1892.0 7
2011 21800 1027.0 21
2011 21870 1009.0 15
2011 21900 1081.0 9
2011 23100 1399.0 32
2011 23200 969.0 13
2011 23500 1007.0 230
2011 23600 907.0 18
2011 23800 1021.0 76
2011 24100 1496.0 246
2011 24130 1435.0 23
2011 24240 1388.0 71
2011 24260 1298.0 81
2011 24280 1556.0 65
2011 24800 1387.0 102
2011 25130 1278.0 6
2011 25190 925.0 7
2011 25250 1204.0 9
2011 25360 1024.0 16
2011 25500 1239.0 22
2011 25700 1348.0 11
2011 25900 1128.0 16
2011 26100 1638.0 295
2011 26200 1595.0 67
2011 26510 1063.0 11
2011 26660 1306.0 92
2011 26820 1110.0 32
2011 26840 1500.0 9
2011 27100 1221.0 20
2011 27310 818.0 7
2011 27430 717.0 11
2011 27500 986.0 27
2011 27510 1230.0 43
2011 27800 1107.0 12
2011 28100 1882.0 343
2011 28120 1318.0 57
2011 28130 1445.0 81
2011 28190 993.0 83
2011 28200 1444.0 36
2011 28220 1450.0 36
2011 28300 1642.0 31
2011 28330 1065.0 67
2011 28360 1378.0 59
2011 28370 876.0 50
2011 28400 1310.0 49
2011 28430 1535.0 16
2011 28450 1162.0 25
2011 28500 1129.0 24
2011 28600 1421.0 44
2011 28610 1376.0 50
2011 28660 1497.0 52
2011 28760 1180.0 13
2011 28800 808.0 20
2011 28840 613.0 11
2011 29100 1254.0 18
2011 29200 860.0 77
2011 29250 1018.0 31
2011 29630 884.0 6
2011 30100 1298.0 129
2011 30300 785.0 58
2011 30420 1204.0 73
2011 31300 1244.0 26
2011 31400 1138.0 70
2011 31500 1021.0 12
2011 31600 1151.0 24
2011 31760 1077.0 13
2011 31900 857.0 11
2011 32200 1222.0 112
2011 32210 810.0 30
2011 32440 753.0 10
2011 32700 1132.0 81
2011 32740 779.0 22
2011 32800 871.0 32
2011 33100 2931.0 398
2011 33180 3541.0 25
2011 33200 3036.0 168
2011 33210 2922.0 110
2011 33230 2831.0 188
2011 33240 2561.0 33
2011 33250 2512.0 45
2011 33270 2284.0 125
2011 33300 1971.0 107
2011 33310 1492.0 159
2011 33330 1769.0 52
2011 33340 2001.0 54
2011 33400 2116.0 76
2011 33410 1585.0 132
2011 33420 1886.0 17
2011 33430 1934.0 58
2011 33450 1982.0 45
2011 33470 1801.0 85
2011 33480 1948.0 80
2011 33500 2576.0 273
2011 33520 2032.0 33
2011 33530 2306.0 111
2011 33540 2540.0 220
2011 33560 2178.0 172
