pnro lhinta trendi hintataso
00100 8.66616064392613 0.031543207166734 5803.17606415607
00120 8.71965280028789 0.0425582289277193 6122.05314398131
00130 8.79598293339817 0.0330189355794584 6607.64726246308
00140 8.77757331292637 0.0278139030173076 6487.11585699484
00150 8.70561710521073 0.0323727958390122 6036.72608587742
00160 8.78380478306032 0.0396259142242883 6527.66633905345
00170 8.7129490188841 0.0322380591364713 6081.14949570639
00180 8.65714900213771 0.0297036521620429 5751.114851055
00190 8.65642359696065 0.0328357154093813 5746.94447535711
00200 8.49334063736675 0.0345697770028734 4882.14834872629
00210 8.51311992330358 0.0300875572687906 4979.67508195872
00220 8.46076743212432 0.0325769063675247 4725.68324752328
00230 8.46076743212432 0.0325769063675247 4725.68324752328
00240 8.35382169922225 0.0292684876605754 4246.37815268644
00250 8.59539820946905 0.0398950234304829 5406.72165527528
00260 8.6206094607771 0.0294400419538319 5544.76468069755
00270 8.5651911004316 0.0485408315780765 5245.84230763519
00280 8.45785361612847 0.0322806687091395 4711.93351790471
00290 8.46076743212432 0.0325769063675247 4725.68324752328
00300 8.44066734971869 0.0375392442451383 4631.64488033145
00310 8.19208492959057 0.0319571786892535 3612.24567872879
00320 8.32364709803714 0.0360004753369072 4120.1592645357
00330 8.50532131341908 0.0365135719914894 4940.99157349403
00340 8.30769112425696 0.0348990090672162 4054.93981495033
00350 8.32986208320266 0.0441081599562675 4145.84573106811
00360 8.10419688960853 0.0316824006845358 3308.32364893363
00370 8.12575937648784 0.0297349067239388 3380.43397933469
00380 8.25100353968358 0.0320754185512639 3831.46892387599
00390 7.99362907020008 0.026457189078332 2962.02688137485
00400 8.17271765629012 0.0330321435475552 3542.9594379297
00410 7.90896666070892 0.0194643181164239 2721.57670066535
00420 7.96275445902272 0.0306269006962458 2871.97279899923
00430 8.09124227312143 0.0246338307969319 3265.74199485565
00440 8.125402913939 0.0195547643823272 3379.22919596507
00500 8.47096731701665 0.0439752131265313 4774.13133510927
00510 8.4340711820914 0.0368312649600132 4601.1943132403
00520 8.34549086336625 0.0370312900837739 4211.14922028919
00530 8.4943084378038 0.0387927254559704 4886.87558117174
00540 8.38904315551878 0.0352691368740332 4398.60689727932
00550 8.36385005632297 0.0376038016339489 4289.17658951155
00560 8.48337986939155 0.0401832174751693 4833.7597954595
00570 8.36094481302785 0.0394946988131363 4276.7335717323
00580 8.46928442270583 0.0359878366269765 4766.10373334357
00590 8.38904315551878 0.0352691368740332 4398.60689727932
00600 8.02754672397941 0.0250949241999215 3064.21507926484
00610 8.35715159985253 0.0356794618556256 4260.54173855278
00620 8.07572933598166 0.0281652849762356 3215.47167287766
00630 8.04574821898446 0.0363216883777489 3120.49904703177
00640 8.0671957286647 0.0266401662441144 3188.14884722437
00650 8.15174824392168 0.0271835941180704 3469.43919262587
00660 8.1332119678712 0.0173131293806339 3405.72108266592
00670 8.19008690079898 0.0223346873739213 3605.03551331806
00680 8.15948968946113 0.0283781666259744 3496.4018976884
00690 8.08558126098819 0.0245375222541126 3247.30681990601
00700 8.05366003054806 0.0165488164920425 3145.28577212814
00710 7.85285592845762 0.0162604309946309 2573.07234393753
00720 8.01973966900222 0.0149962397739927 3040.38572325866
00730 8.08280648573137 0.020134427072888 3238.30876285717
00740 7.89435783145401 0.00811770965055924 2682.1066588572
00750 7.89058420460633 0.0203668788896609 2672.00446210957
00760 7.970756780085 0.0215654950329902 2895.04744966439
00770 7.66689529234358 0.0126106019820941 2136.43812200101
00780 8.06747383612234 0.0115055120072675 3189.03561849798
00790 8.23420135584414 0.0208205033795143 3767.62969971408
00800 8.23646229701438 0.0357222654936257 3776.15772586624
00810 8.32932459485937 0.0351802513752905 4143.6179860617
00820 7.96444868154601 0.0213202370337528 2876.84268417128
00830 8.21896504052053 0.0287460963714454 3710.660011751
00840 8.04870389660173 0.0123164402415987 3129.73588004566
00850 8.37290282106559 0.0352611793554426 4328.18178215142
00860 8.17615611504148 0.0271970961884852 3555.16272604291
00870 8.01153461450848 0.0267264316617201 3015.54125719961
00880 8.17615611504148 0.0271970961884852 3555.16272604291
00890 8.17615611504148 0.0271970961884852 3555.16272604291
00900 7.89625449629025 0.0206927683213717 2687.19854351695
00910 8.06750849008891 0.0237171432331646 3189.14613314656
00920 7.82176289731863 0.0213548196695493 2494.29872695921
00930 8.05554416510178 0.0268832515054204 3151.21750006474
00940 7.73989307489037 -0.00310615344423287 2298.22663184951
00950 8.14441579168827 0.0269914266327018 3444.09273487687
00960 7.90423140010087 0.0178908315969135 2708.71979015771
00970 7.8420291345348 0.0136671846961018 2545.36448422266
00980 7.9817173086878 0.0193540993972916 2926.95323275566
00990 8.34681477063743 0.0303482503364307 4216.72808349589
01120 7.85229966689437 0.0151308262555206 2571.64144070827
01150 7.83482329796201 0.0118888246272457 2527.08892814473
01180 7.85229966689437 0.0151308262555206 2571.64144070827
01190 7.85229966689437 0.0151308262555206 2571.64144070827
01200 7.69045805154324 -0.00143823363247114 2187.37626386854
01230 7.85405963853221 0.0106948458795051 2576.17144187409
01260 7.88290647916644 0.015695835355449 2651.56809825987
01280 7.84914821321445 0.0128237156738127 2563.54978875665
01300 8.02638108869443 0.0364390226450263 3060.64540292221
01340 7.90602825777083 0.0212105326921736 2713.59134952711
01350 7.82232871251093 0.0191866069847354 2495.7104384193
01360 7.71471531309892 0.0222871539236368 2241.08479947118
01370 7.93113424109434 0.0164892443426029 2782.58113316379
01380 7.9942065419052 0.0227671773861358 2963.73786206255
01390 7.99505518631426 0.0204073658149124 2966.25408916914
